Raw Roll, Raw Pitch, Raw Yar, Raw X, Raw Y, Raw Z, DMP Roll, DMP Pitch, DMP Yaw
4.500946,-466.6588,-27.368454,730.0081,15853.393,-683.9805,-1.5838776,-0.06530762,0.08959961,
4.978653,-490.85278,-28.725052,727.18567,15889.16,-699.0579,-1.5865936,-0.06463623,0.09259033,
5.3726807,-516.605,-30.179443,729.84424,15918.152,-713.4273,-1.5865936,-0.06463623,0.09259033,
6.2305603,-543.00085,-31.638779,753.6317,15941.246,-716.1621,-1.5888214,-0.064208984,0.096466064,
7.8503723,-564.37067,-32.727066,748.44684,15965.929,-673.0346,-1.5899506,-0.0635376,0.1000061,
10.072311,-585.08923,-33.684677,713.7877,15994.642,-614.9248,-1.5894012,-0.062316895,0.10183716,
12.38382,-605.7412,-34.586426,710.58795,16018.883,-560.12695,-1.5879669,-0.060668945,0.10241699,
14.71109,-626.4604,-35.447876,710.2076,16042.8,-492.91357,-1.5860443,-0.059265137,0.10266113,
17.113876,-647.3476,-36.26358,705.4663,16062.226,-450.81744,-1.5837555,-0.057861328,0.102508545,
19.613281,-668.5868,-37.037643,708.59735,16069.511,-424.4284,-1.5837555,-0.057861328,0.102508545,
22.273697,-694.0869,-37.95346,714.01465,16073.168,-397.7791,-1.5813751,-0.05657959,0.102508545,
24.195404,-719.26855,-38.888382,717.5905,16076.96,-378.3938,-1.5813751,-0.05657959,0.102508545,
25.992569,-744.47046,-39.78755,719.709,16086.071,-350.8496,-1.579483,-0.055480957,0.10333252,
27.530243,-765.47253,-40.49695,717.91656,16099.77,-309.16412,-1.5779877,-0.054504395,0.104644775,
28.752914,-786.20825,-41.216873,719.9025,16115.697,-273.34705,-1.5764618,-0.053771973,0.10614014,
29.752945,-806.4503,-41.935913,724.38916,16133.831,-227.4152,-1.5754852,-0.053344727,0.10861206,
30.78093,-825.56946,-42.604294,731.4264,16149.151,-197.07416,-1.5750275,-0.05267334,0.11151123,
31.84636,-843.08136,-43.23114,735.06055,16154.343,-201.45966,-1.5747223,-0.05230713,0.113983154,
32.84764,-858.7871,-43.835205,722.63513,16149.916,-194.60922,-1.5747223,-0.05230713,0.113983154,
34.129547,-875.4469,-44.47563,717.75073,16153.73,-163.15005,-1.5746307,-0.051940918,0.116119385,
35.57657,-889.87195,-44.98915,726.8515,16168.161,-121.54024,-1.5746307,-0.051940918,0.116119385,
38.59944,-912.8257,-45.723175,746.4527,16190.047,-71.88287,-1.5747223,-0.051757813,0.117370605,
39.684753,-920.7991,-45.95488,733.8877,16185.449,-53.39691,-1.5748138,-0.051513672,0.11764526,
40.50688,-928.39417,-46.16092,707.383,16171.514,-36.859634,-1.5748138,-0.051513672,0.11764526,
42.149734,-944.36584,-46.46846,669.23865,16161.971,3.6958618,-1.574997,-0.05102539,0.11734009,
43.308975,-953.28186,-46.549164,664.59546,16176.377,55.41353,-1.574997,-0.05102539,0.11734009,
45.25357,-971.07166,-46.695908,663.52405,16198.781,139.57088,-1.5748138,-0.05078125,0.116363525,
44.835526,-978.9684,-46.930664,665.35095,16213.105,161.50417,-1.5748138,-0.05078125,0.116363525,
41.650696,-991.608,-47.65808,669.5846,16220.193,171.20654,-1.5754547,-0.05053711,0.11682129,
40.846924,-994.63464,-47.874527,664.8069,16208.581,155.58447,-1.5754547,-0.05053711,0.11682129,
40.950348,-995.8384,-47.92845,660.9068,16203.7295,132.42693,-1.5763092,-0.05053711,0.117126465,
41.989243,-995.8622,-47.809372,661.0959,16204.962,104.586975,-1.5763092,-0.05053711,0.117126465,
43.63658,-995.3479,-47.56154,657.46704,16214.969,116.62213,-1.5757904,-0.050048828,0.11279297,
45.079086,-994.79504,-47.320786,652.4015,16225.774,157.7463,-1.5743866,-0.049621582,0.10562134,
46.35489,-993.38965,-47.091644,656.2405,16224.701,192.15845,-1.5728607,-0.04888916,0.09793091,
47.53952,-990.7635,-46.85669,653.3971,16221.137,207.433,-1.571579,-0.048461914,0.09024048,
48.616333,-987.6222,-46.630188,641.4403,16217.529,207.98323,-1.5701294,-0.048095703,0.08255005,
49.51352,-984.36096,-46.436264,631.879,16212.082,213.37723,-1.5701294,-0.048095703,0.08255005,
50.47586,-980.5829,-46.22267,623.17395,16211.08,229.82896,-1.5688171,-0.047668457,0.075408936,
51.401825,-977.2366,-46.01248,603.4424,16209.677,266.0302,-1.5688171,-0.047668457,0.075408936,
52.316467,-974.82526,-45.79927,589.783,16207.516,288.01367,-1.5678406,-0.04711914,0.068878174,
52.90445,-973.64197,-45.656982,601.084,16202.7705,301.7002,-1.5668335,-0.04675293,0.06323242,
53.241898,-972.72107,-45.563766,609.85504,16199.1,302.7207,-1.56604,-0.04650879,0.05834961,
53.460938,-971.8069,-45.49231,616.9492,16198.295,298.5404,-1.5653992,-0.046203613,0.054260254,
53.57315,-970.82,-45.442993,620.4346,16193.872,302.97617,-1.5649414,-0.046020508,0.050689697,
53.57686,-969.7547,-45.411087,623.37146,16190.791,310.3675,-1.5646362,-0.045776367,0.047851563,
53.497894,-968.6588,-45.394836,627.71423,16193.018,312.62073,-1.5644226,-0.045654297,0.04534912,
53.337036,-967.59515,-45.400177,623.7246,16197.221,297.75272,-1.5644226,-0.045654297,0.04534912,
53.02861,-966.4105,-45.432877,622.5334,16201.703,298.96805,-1.564331,-0.04559326,0.04333496,
52.58641,-965.3353,-45.489243,623.9607,16207.337,312.15887,-1.564331,-0.04559326,0.04333496,
51.407043,-963.33374,-45.64818,634.2294,16204.963,332.73547,-1.5641174,-0.04510498,0.041503906,
51.01155,-962.4922,-45.692184,633.1874,16210.171,334.25137,-1.5639038,-0.045043945,0.03945923,
50.625687,-961.78217,-45.739273,639.84766,16214.458,347.31284,-1.5639038,-0.045043945,0.03945923,
